0,0,1.0,1.0,positive
0,0,1.0,1.0,positive
0,0,1.0,1.0,positive
0,0,1.0,1.0,positive
0,0,1.0,1.0,positive
0,0,1.0,1.0,positive
0,0,1.0,1.0,positive
0,0,1.0,1.0,positive
0,0,1.0,1.0,positive
0,0,1.0,1.0,positive
0,0,1.0,1.0,positive
0,0,1.0,1.0,positive
0,0,1.0,1.0,positive
0,0,1.0,1.0,positive
0,0,1.0,1.0,positive
5,3,0.7368421,0.7368421,positive
0,0,1.0,1.0,positive
0,0,1.0,1.0,positive
0,0,1.0,1.0,positive
0,0,1.0,1.0,positive
0,0,1.0,1.0,positive
0,0,1.0,1.0,positive
0,0,1.0,1.0,positive
0,0,1.0,1.0,positive
0,0,1.0,1.0,positive
0,0,1.0,1.0,positive
0,0,1.0,1.0,positive
28,13,0.14285715,0.35714287,positive
28,13,0.14285715,0.35714287,positive
0,0,1.0,1.0,positive
0,0,1.0,1.0,positive
0,0,1.0,1.0,positive
0,0,1.0,1.0,positive
0,0,1.0,1.0,positive
0,0,1.0,1.0,positive
0,0,1.0,1.0,positive
0,0,1.0,1.0,positive
0,0,1.0,1.0,positive
0,0,1.0,1.0,positive
0,0,1.0,1.0,positive
0,0,1.0,1.0,positive
0,0,1.0,1.0,positive
0,0,1.0,1.0,positive
0,0,1.0,1.0,positive
0,0,1.0,1.0,positive
0,0,1.0,1.0,positive
0,0,1.0,1.0,positive
0,0,1.0,1.0,positive
0,0,1.0,1.0,positive
0,0,1.0,1.0,positive
5,2,0.85714287,0.85714287,positive
0,0,1.0,1.0,positive
0,0,1.0,1.0,positive
0,0,1.0,1.0,positive
0,0,1.0,1.0,positive
0,0,1.0,1.0,positive
0,0,1.0,1.0,positive
0,0,1.0,1.0,positive
0,0,1.0,1.0,positive
0,0,1.0,1.0,positive
0,0,1.0,1.0,positive
0,0,1.0,1.0,positive
0,0,1.0,1.0,positive
0,0,1.0,1.0,positive
0,0,1.0,1.0,positive
0,0,1.0,1.0,positive
0,0,1.0,1.0,positive
0,0,1.0,1.0,positive
0,0,1.0,1.0,positive
0,0,1.0,1.0,positive
0,0,1.0,1.0,positive
0,0,1.0,1.0,positive
0,0,1.0,1.0,positive
0,0,1.0,1.0,positive
0,0,1.0,1.0,positive
0,0,1.0,1.0,positive
0,0,1.0,1.0,positive
0,0,1.0,1.0,positive
0,0,1.0,1.0,positive
0,0,1.0,1.0,positive
3,1,0.93333334,0.93333334,positive
0,0,1.0,1.0,positive
0,0,1.0,1.0,positive
12,5,0.5,0.7,positive
17,12,0.44444445,0.44444445,positive
0,0,1.0,1.0,positive
0,0,1.0,1.0,positive
0,0,1.0,1.0,positive
0,0,1.0,1.0,positive
28,13,0.14285715,0.35714287,positive
28,13,0.14285715,0.35714287,positive
0,0,1.0,1.0,positive
1,1,0.95652175,0.95652175,positive
12,7,0.33333334,0.5833333,positive
0,0,1.0,1.0,positive
0,0,1.0,1.0,positive
0,0,1.0,1.0,positive
7,4,0.54545456,0.54545456,positive
7,4,0.54545456,0.54545456,positive
17,7,0.11764706,0.23529412,positive
0,0,1.0,1.0,positive
7,5,0.44444445,0.8148148,positive
0,0,1.0,1.0,positive
0,0,1.0,1.0,positive
0,0,1.0,1.0,positive
0,0,1.0,1.0,positive
5,2,0.7407407,0.8888889,positive
7,4,0.54545456,0.54545456,positive
0,0,1.0,1.0,positive
0,0,1.0,1.0,positive
5,2,0.8,0.8,positive
0,0,1.0,1.0,positive
0,0,1.0,1.0,positive
0,0,1.0,1.0,positive
0,0,1.0,1.0,positive
0,0,1.0,1.0,positive
0,0,1.0,1.0,positive
0,0,1.0,1.0,positive
0,0,1.0,1.0,positive
0,0,1.0,1.0,positive
0,0,1.0,1.0,positive
0,0,1.0,1.0,positive
0,0,1.0,1.0,positive
0,0,1.0,1.0,positive
0,0,1.0,1.0,positive
0,0,1.0,1.0,positive
0,0,1.0,1.0,positive
0,0,1.0,1.0,positive
17,9,0.44444445,0.44444445,positive
0,0,1.0,1.0,positive
0,0,1.0,1.0,positive
0,0,1.0,1.0,positive
0,0,1.0,1.0,positive
0,0,1.0,1.0,positive
23,12,0.17391305,0.3478261,positive
5,2,0.8,0.8,positive
23,12,0.17391305,0.3478261,positive
23,12,0.17391305,0.3478261,positive
11,7,0.26086956,0.5217391,positive
0,0,1.0,1.0,positive
0,0,1.0,1.0,positive
0,0,1.0,1.0,positive
0,0,1.0,1.0,positive
0,0,1.0,1.0,positive
0,0,1.0,1.0,positive
11,7,0.26086956,0.5217391,positive
11,7,0.26086956,0.5217391,positive
5,2,0.85714287,0.85714287,positive
11,7,0.26086956,0.5217391,positive
0,0,1.0,1.0,positive
0,0,1.0,1.0,positive
0,0,1.0,1.0,positive
0,0,1.0,1.0,positive
0,0,1.0,1.0,positive
11,7,0.26086956,0.5217391,positive
0,0,1.0,1.0,positive
7,4,0.54545456,0.54545456,positive
27,12,0.08,0.16,positive
0,0,1.0,1.0,positive
0,0,1.0,1.0,positive
0,0,1.0,1.0,positive
0,0,1.0,1.0,positive
0,0,1.0,1.0,positive
0,0,1.0,1.0,positive
0,0,1.0,1.0,positive
0,0,1.0,1.0,positive
0,0,1.0,1.0,positive
0,0,1.0,1.0,positive
0,0,1.0,1.0,positive
0,0,1.0,1.0,positive
0,0,1.0,1.0,positive
3,1,0.5217391,0.95652175,positive
23,12,0.17391305,0.3478261,positive
0,0,1.0,1.0,positive
0,0,1.0,1.0,positive
23,12,0.17391305,0.3478261,positive
0,0,1.0,1.0,positive
0,0,1.0,1.0,positive
16,8,0.22222222,0.44444445,positive
0,0,1.0,1.0,positive
0,0,1.0,1.0,positive
0,0,1.0,1.0,positive
0,0,1.0,1.0,positive
